RJ20,447636,23600,,8
GS01,447636,23605,,8
PS07,447636,59857,,8
FS25,447636,59005,,8
CP01B,457636,18211,,8
CP01D,467636,18211,,8
CD12C,467636,18230,,8
SW07,447636,23646,,8
SW07A,447638,23646,,8
GV05,447636,22044,,8
GS01B,447638,23605,,8
JM24,447636,59664,,8
CD17D,467636,18233,,8
FC16,447636,57237,,8
CD30,447636,59817,,8
FS28C,467636,18234,,8
MC02,447636,23652,,8
MC03,447636,23653,,8
MC04,447636,24358,,8
WL04,447636,59150,,8
RM03,447636,57185,,8
NR09CC,116465,0,,8
LJ07,447636,58325,,8
KL01,447636,18243,,8
KK36,447636,18293,,8
KL01A,784636,18243,,8
JM26,447636,59149,,8
MZ06,447636,58310,,8
IR03,587535,19941,,8
JL16,447636,57177,,8
GRY6,467636,18233,,8
JJY6,467636,18233,,8
CTY6,467636,18233,,8
FFY6,467636,18233,,8
HXY6,467636,18233,,8
FC17,447636,59145,,8
FC18,447636,57034,,8
FC19,447636,57320,,8
RJ22,447636,23712,,8
RJ23,447636,23713,,8
FS32,447636,23714,,8
MD01,447636,23654,,8
CD38,447636,59798,,8
PBY6,467636,18233,,8
DAY4,447636,18243,,8
GEY4,447636,18243,,8
JPY4,447636,18243,,8
CPY4,447636,18243,,8
NMY4,447636,18243,,8
KAY4,447636,18243,,8
CD37,447636,42022,15-16,8
CSMDA,784636,55232,15-16,8
KK38,447636,41385,15-16,8
RJ24,447636,23719,,8
KK41,447638,40013,15-16,8
MC05,447636,68608,15-16,8
MDIC,447636,7427,15-16,8
SURP,447636,68310,15-16,8
VC14,447636,7427,15-16,8
WT17,447636,46813,15-16,8
WTIC,447636,7427,15-16,8
XX03,447636,36431,15-16,8
XX04,447636,34586,15-16,8
XX05,447636,34596,15-16,8
XX06,447636,55100,15-16,8
XX07,447636,41459,15-16,8
XX08,447636,41657,15-16,8
XX10,447636,47028,15-16,8
XX10A,784636,47028,15-16,8
CRHY4,447636,18243,,8
DA02,447636,7427,15-16,8
FWY4,447636,18243,,8
CD35B,457636,41212,15-16,8
KK39,447636,41386,15-16,8
AD06,447636,53006,15-16,8
ADRC,447636,40390,15-16,8
CD20,447636,41904,15-16,8
CD22,447636,52800,15-16,8
CD26,447636,41802,15-16,8
CD29,447636,67440,15-16,8
CD29A,267440,67440,15-16,8
CD32,447636,41120,15-16,8
CD32A,784636,41120,15-16,8
CD33,447636,41129,15-16,8
CD35,447636,41212,15-16,8
CD35A,447638,41212,15-16,8
CD35C,467636,41212,15-16,8
CD35D,477636,41212,15-16,8
CDIC,447636,7427,15-16,8
CFIT,447636,43990,15-16,8
CP02A,447636,19941,15-16,8
CP04,447636,7427,15-16,8
CPIC,447636,7427,15-16,8
CSMD,447636,55232,15-16,8
DA01,447636,7427,15-16,8
FCIC,447636,7427,15-16,8
FS13,447636,45797,15-16,8
FS24,447636,51665,15-16,8
FS29,447636,67442,15-16,8
FS29A,267442,67442,15-16,8
FS30,447636,67443,15-16,8
FS30A,267443,67443,15-16,8
FSIC,447636,7427,15-16,8
FSLAB,267370,67370,15-16,8
FSLAB1,447636,67370,15-16,8
GCIC,447636,7427,15-16,8
GM03,447636,51728,15-16,8
GV01,447636,19941,15-16,8
GV02,447636,41927,15-16,8
GV03A,447636,19941,15-16,8
GV04,447636,18082,15-16,8
GVIC,447636,7427,15-16,8
IRIC,447636,7427,15-16,8
JLIC,447636,7427,15-16,8
JM16,447636,43912,15-16,8
JMIC,447636,7427,15-16,8
KK06,447636,47029,15-16,8
KK13,447636,47615,15-16,8
KK14,447636,46886,15-16,8
KK17,447636,47747,15-16,8
KK24,447636,52998,15-16,8
KK27,447636,40013,15-16,8
KK28,447636,67391,15-16,8
KK28A,267391,67391,15-16,8
KK32,447636,50459,15-16,8
KK33,447636,47735,15-16,8
KK34,447636,42028,15-16,8
KK35,447636,46890,15-16,8
KK37,447636,46001,15-16,8
KK40,447636,43986,15-16,8
KKIC,447636,7427,15-16,8
LJIC,447636,7427,15-16,8
MCIC,447636,7427,15-16,8
MZIC,447636,7427,15-16,8
NR01,447636,7427,15-16,8
NR02,447636,19900,15-16,8
NR03,447636,62190,15-16,8
NR03A,262190,62190,15-16,8
NR03B,447636,75728,15-16,8
NR04,449005,19941,15-16,8
NR08,447636,69750,15-16,8
NR09,447636,67343,15-16,8
NR09A,267343,67343,15-16,8
NR10,447636,19933,15-16,8
NR11,447636,48560,15-16,8
NR12,447636,19941,15-16,8
PS08,447636,49342,15-16,8
PSIC,447636,7427,15-16,8
RB12,447636,37503,15-16,8
RBIC,447636,7427,15-16,8
RJ21,447636,50890,15-16,8
RJIC,447636,7427,15-16,8
SS02,447636,20291,15-16,8
SWIC,447636,7427,15-16,8
TJ01,447636,41901,15-16,8
TJ02,447641,41801,15-16,8
TJ03,447641,41802,15-16,8
VC03,447636,47605,15-16,8
VCIC,447636,7427,15-16,8
WLIC,447636,7427,15-16,8
KK42,447636,23143,,8
SSBP,447636,20291,,8
FC15,447636,67437,15-16,8
FS19,447636,50722,15-16,8
CDLAB1,447636,67365,15-16,8
MZ08,597594,34912,15-16,8
KK38A,447636,41385,15-16,8
MC06,447636,23725,,8
WT17A,784636,46813,15-16,8
SW08,597595,19900,15-16,8
MC07,447636,41273,15-16,8
CD35AA,784638,41212,,8
WT18,447636,57238,,8
KK43,447636,58381,,8
KK44,447636,40013,15-16,8
TJ04,447636,7427,15-16,8
KK44A,784636,40013,15-16,8
RB19,447636,23727,,8
NRO1,447636,7427,,8
MC05A,784636,68608,,8
